text,rate,number,rank,inform_tip
凉宫春日的忧郁,8.1,(7254人评分),123,"
14话 / 2006年4月2日 / 石原立也 / 谷川流 / 池田晶子 "
少女革命剧场版 思春期默示录,8.2,(690人评分),124,"
1话 / 1999年8月14日 "
冰菓,8.1,(9323人评分),125,"
22话 / 2012年4月22日 / 武本康弘 / 米澤穂信 "
交响诗篇,8.1,(2066人评分),126,"
51话 / 2005年4月17日 / 京田知己 / BONES "
摇曳露营△,8.1,(2746人评分),127,"
12话 / 2018年1月4日 / あfろ（芳文社「まんがタイムきららフォワード」連載） "
Code Geass 反叛的鲁路修R2,8.1,(7015人评分),129,"
25话 / 2008年4月6日 / 谷口悟朗 / 木村貴宏 "
春宵苦短，少女前进吧！,8.1,(2045人评分),130,"
1话 / 2017年4月7日 / 湯浅政明 / 森見登美彦（角川文庫刊） "
天元突破红莲螺岩 螺岩篇,8.1,(1442人评分),131,"
1话 / 2009年4月25日 / 今石洋之 / GAINAX・中島かずき / 錦織敦史 "
蜘蛛侠：平行宇宙,8.3,(257人评分),132,"
1话 / 2018年12月14日 / 鲍勃·佩尔西凯蒂 / 彼得·拉姆齐 / 罗德尼·罗斯 "
山水情,8.3,(242人评分),133,"
1988-03-21 / 特伟、马克宣 / 吴山明 "
龙珠,8.1,(2285人评分),134,"
153话 / 1986年2月26日 / 鳥山明（集英社「週刊少年ジャンプ」連載） "
机动战士高达 第08MS小队,8.1,(1432人评分),136,"
11话 / 1996年1月25日 / 神田武幸（第1話 - 第6話）、飯田馬之介（第7話以降） / 矢立肇、富野由悠季 / 川元利浩 "
小魔女DoReMi 童年秘密篇,8.5,(113人评分),137,"
13话 / 2004年6月26日 "
空之境界 第七章 杀人考察（后）,8.1,(4168人评分),138,"
 1话 / 2009年8月8日 / 瀧沢進介（あおきえい、野中卓也、近藤光、平尾隆之、小船井充） / 奈須きのこ / 須藤友徳、高橋タクロヲ、小船井充 "
吹响！悠风号,8.1,(5123人评分),139,"
14话 / 2015年4月7日 "
怪诞小镇 第二季,8.3,(188人评分),140,"
20话 / 2014年8月1日 / John Aoshima / Aaron Springer / Joe Pitt "
寒蝉鸣泣之时 解,8.1,(4501人评分),141,"
24话 / 2007年7月5日 / 今千秋 / 竜騎士07 / 07th Expansion "
悠久之翼2,8.1,(2664人评分),142,"
12话 / 2008年10月6日 / 大沼心 / minori、鏡遊、御影 / 杉山延寛 "
攻壳机动队 笑面男,8.2,(547人评分),143,"
1话 / 2005年10月23日 "
续 夏目友人帐,8.1,(4127人评分),144,"
13话 / 2009年1月5日 / 大森貴弘 / 緑川ゆき / 髙田晃 "
银魂°,8.1,(1665人评分),145,"
51话 / 2015年4月8日 "
白兔糖,8.1,(4943人评分),146,"
11话 / 2011年7月7日 / 宇仁田ゆみ "
小马驹G4 第一季,8.3,(275人评分),147,"
26话 / 2010年10月10日 "
龙与虎,8.1,(8354人评分),148,"
25话 / 2008年10月1日 / 長井龍雪 / 竹宮ゆゆこ（アスキー・メディアワークス／電撃文庫） "
海马,8.1,(865人评分),150,"
12话 / 2008年4月10日 / 湯浅政明 / 湯浅政明 / 伊東伸高 "
夏目友人帐,8.1,(5518人评分),151,"
13话 / 2008年7月7日 / 大森貴弘 / 緑川ゆき "
监狱兔 第一季,8.1,(2189人评分),152,"
13话 / 2006年6月28日 / 富岡聡 / 富岡聡、宮崎あぐり / 宮崎あぐり "
超时空要塞 可曾记得爱,8.1,(849人评分),153,"
1话 / 1984年7月21日 / 石黒昇、河森正治 / スタジオぬえ / 美樹本晴彦 "
黑客帝国动画版,8.1,(899人评分),154,"
9话 / 2003年6月3日 "
福星小子2 绮丽梦中人,8.3,(219人评分),155,"
1话 / 1984年2月11日 "
欢迎加入NHK！,8.1,(2858人评分),156,"
24话 / 2006年7月9日 / 山本裕介 / 大岩ケンヂ / 右凑具央、吉田隆彦 "
攻壳机动队 S.A.C. SSS 3D,8.2,(504人评分),157,"
2011年3月26日 "
AIR,8.1,(5589人评分),158,"
13话 / 2005年1月6日 / 石原立也 / Key/Visual Art's / 荒谷朋恵 "
老人与海,8.2,(311人评分),159,"
1999年7月3日 / Александр Константинович Петров / Ernest Miller Hemingway "
攻壳机动队 个别的十一人,8.2,(508人评分),160,"
1话 / 2006年1月27日 "
狮子王,8.1,(1488人评分),161,"
1话 / 1994年6月15日/ / 罗杰·阿勒斯 / 罗伯·明可夫 "
装甲骑兵VOTOMS,8.3,(198人评分),162,"
52话 / 1983年4月1日 / 高橋良輔 / 高橋良輔 / 塩山紀生 "
心灵游戏,8.1,(708人评分),163,"
1话 / 2004年8月7日 / ロビン西 "
狼的孩子雨和雪,8.1,(3240人评分),164,"
1话 / 2012年7月21日 / 細田守 / 細田守 / 貞本義行 "
百变之星 不死鸟传说 ～蕾拉・汉密尔顿物语～,8.2,(285人评分),165,"
1话 / 2006年1月27日 "
夏目友人帐 肆,8.1,(3234人评分),166,"
13话 / 2012年1月2日 / 大森貴弘 / 緑川ゆき / 髙田晃 "
回忆积木小屋,8.1,(737人评分),167,"
1话 / 2008年6月10日 / 加藤久仁生 "
搞笑漫画日和,8.1,(3464人评分),168,"
12话 / 2005年2月7日 / 大地丙太郎 / 増田こうすけ（集英社 「月刊少年JUMP」连载） "
JOJO的奇妙冒险 黄金之风,8.1,(668人评分),169,"
39话 / 2018年10月5日 / 荒木飛呂彦（集英社ジャンプ コミックス刊） "
机动战士高达 THE ORIGIN,8.1,(617人评分),170,"
6话 / 2015年4月24日 "
你的名字。,8.1,(6166人评分),171,"
1话 / 2016年8月26日 / 新海誠 / 田中将賀 "
吊带袜天使,8.1,(4047人评分),172,"
13话 / 2010年10月1日 / 今石洋之 / GAINAX / 錦織敦史 "
吹响！悠风号 第二季,8.1,(3003人评分),173,"
13话 / 2016年10月5日 / 武田綾乃 "
寒蝉鸣泣之时,8.1,(5299人评分),174,"
26话 / 2006年4月4日 / 今千秋 / 竜騎士07 / 07th Expansion "
一拳超人,8.1,(4952人评分),175,"
12话 / 2015年10月4日 "
小马驹G4 第二季,8.3,(185人评分),176,"
26话 / 2011年9月17日 "
宇宙战舰大和号2199,8.1,(901人评分),177,"
26话 / 2013年4月7日 "
夏日大作战,8.0,(5688人评分),178,"
1话 / 2009年8月1日 / 細田守 / 細田守 / 貞本義行 "
奇诺之旅,8.1,(1721人评分),179,"
13话 / 2003年4月8日 / 中村隆太郎 "
穿越时空的少女,8.0,(5806人评分),180,"
1话 / 2006年7月15日 / 細田守 / 筒井康隆 / 貞本義行 "
妄想代理人,8.1,(1778人评分),181,"
13话 / 2004年2月2日 / 今敏 / 今敏 / 安藤雅司 "
伤物语III 冷血篇,8.1,(1440人评分),182,"
1话 / 2017年1月6日 "
蜡笔小新 呼风唤雨！大人帝国的反击,8.2,(257人评分),183,"
2001年4月21日 / 原恵一 / 臼井儀人 / 末吉裕一、原勝徳 "
疯狂约会美丽都,8.2,(303人评分),184,"
2003年6月11日 / Sylvain Chomet  "
拥抱！光之美少女,8.4,(128人评分),185,"
2018年2月4日 "
黑礁 The Second Barrage,8.0,(2313人评分),186,"
12话 / 2006年10月2日 / 片渕須直 / 広江礼威（小学館刊『月刊サンデージェネックス』連載） "
人狼,8.1,(724人评分),187,"
1999年11月17日 / 沖浦啓之 / 西尾鉄也、沖浦啓之 "
校园迷糊大王,8.0,(2035人评分),188,"
26话 / 2004年10月5日 / 高松信司 / 小林尽 / 渡辺はじめ "
精灵守护者,8.0,(923人评分),190,"
26话 / 2007年4月7日 / 神山健治 / 上橋菜穂子 "
太空丹迪,8.0,(1791人评分),191,"
13话 / 2014年1月5日 "
无限的未知,8.1,(799人评分),192,"
26话 / 1999年10月6日 / 谷口悟朗 / 平井久司 "
魔卡少女樱,8.0,(3950人评分),193,"
70话 / 1998年4月7日 / 浅香守生 / CLAMP (講談社「なかよし」連載) "
无头骑士异闻录,8.0,(7409人评分),194,"
26话 / 2010年1月7日 / 大森貴弘 / 成田良悟 / 岸田隆宏 "
空之境界 第三章 痛觉残留,8.0,(4516人评分),195,"
1话 / 2008年2月9日 / 小船井充 "
悠久之翼,8.0,(3060人评分),196,"
12话 / 2007年10月6日 / 大沼心 / minori、鏡遊、御影 "
机动战舰,8.1,(806人评分),197,"
26话 / 1996年10月1日 / 後藤圭二 "
机动警察 NEW OVA,8.2,(203人评分),198,"
16话 / 1990年11月22日 "
四月是你的谎言,8.0,(5102人评分),199,"
22话 / 2014年10月9日 "
交响情人梦,8.0,(1631人评分),200,"
23话 / 2007年1月11日 / 島村秀一 "
NO GAME NO LIFE 游戏人生 ZERO,8.0,(2551人评分),201,"
1话 / 2017年7月15日 / 榎宮祐（MF文庫J 『ノーゲーム・ノーライフ』／KADOKAWA刊） "
空之境界 第一章 俯瞰风景,8.0,(4867人评分),202,"
1话 / 2007年12月1日 / あおきえい "
罗小黑战记,8.0,(846人评分),203,"
2011年3月17日 "
向阳素描 沙英・寻 毕业篇,8.1,(303人评分),204,"
2话 / 2013年11月27日 "
回转企鹅罐,8.0,(5467人评分),205,"
24话 / 2011年7月7日 / イクニチャウダー "
龙珠Z,8.0,(1144人评分),206,"
291话 / 1989年4月26日 / 鳥山明 / 中鶴勝祥 "
银之匙 Silver Spoon 第二季,8.0,(2222人评分),207,"
11话 / 2014年1月9日 / 出合小都美 "
DARKER THAN BLACK -黑之契约者-,8.0,(4858人评分),208,"
26话 / 2007年4月5日 / 岡村天斎 / BONES、岡村天斎 "
红猪,8.0,(1682人评分),209,"
1话 / 1992年7月18日 / 宮崎駿 / 宮崎駿 "
机动战士高达,8.0,(1290人评分),210,"
43话 / 1979年4月7日 / 富野由悠季 / 矢立肇、富野由悠季 / 安彦良和 "
爆漫王。,8.0,(3547人评分),211,"
25话 / 2010年10月2日 / カサヰケンイチ、秋田谷典昭 / 小畑健、大場つぐみ / 下谷智之 "
萩萩公主,8.1,(247人评分),212,"
26话 / 2002年8月16日 / 河本昇悟 / 伊藤郁子 "
小魔女DoReMi 大合奏,8.3,(129人评分),213,"
51话 / 2002年2月3日 / 東堂いづみ（擬人名称） "
勇者王GaoGaiGar Final,8.2,(169人评分),214,"
8话 / 2000年1月21日 "
超时空要塞,8.0,(712人评分),215,"
36话 / 1982年10月3日 / 石黒昇 / スタジオぬえ "
JOJO的奇妙冒险 不灭钻石,8.0,(2008人评分),216,"
39话 / 2016年4月1日 / 荒木飛呂彦「ジョジョの奇妙な冒険 Part4 ダイヤモンドは砕けない」（週刊少年ジャンプ / 集英社） "
赌博默示录,8.0,(1749人评分),217,"
26话 / 2007年10月2日 / 佐藤雄三 / 高田晴仁 "
麻辣教师GTO,8.0,(842人评分),218,"
43话 / 1999年6月30日 / 阿部記之 / 藤沢とおる（講談社「少年マガジンKC」刊） / 宇佐美皓一 "
×××HOLiC◆继,8.0,(1602人评分),219,"
13话 / 2008年4月3日 / 水島努 / CLAMP / 黄瀬和哉 "
物语系列 第二季,8.0,(3931人评分),220,"
26话 / 2013年7月6日 / 板村智幸 / 西尾維新 "
恶魔人 crybaby,8.0,(2434人评分),221,"
10话 / 2018年1月5日 / 湯浅政明 / 永井豪「デビルマン」 "
银之匙 Silver Spoon,8.0,(3014人评分),222,"
11话 / 2013年7月11日 / 荒川弘 "
小马驹G4 第四季,8.3,(131人评分),223,"
26话 / 2013年11月23日 "
悠哉日常大王,8.0,(3963人评分),224,"
12话 / 2013年10月7日 / 川面真也 / あっと / 大塚舞 "
蓝宝石之谜,8.0,(859人评分),225,"
39话 / 1990年4月13日 / 樋口真嗣（第23 - 39話） "
男子高中生的日常,8.0,(7432人评分),226,"
12话 / 2012年1月9日 / 山内泰延(掲載「ガンガンONLINE」スクウェア・エニックス刊) "
少女终末旅行,8.0,(3336人评分),227,"
12话 / 2017年10月6日 / つくみず（新潮社「くらげバンチ」連載） "
怪诞小镇 第一季,8.1,(233人评分),228,"
20话 / 2012年06月16日 "
天体战士,8.0,(973人评分),229,"
26话 / 2008年10月3日 / 岸誠二 / 森田和明 "
交响情人梦Finale,8.0,(1125人评分),230,"
11话 / 2010年1月14日 / 今千秋 "
少女☆歌剧 Revue Starlight,7.9,(2602人评分),231,"
12话 / 2018年7月12日 / 古川知宏 / ブシロード、ネルケプラニング / 齊田博之 "
辉夜姬物语,8.0,(796人评分),232,"
2013年11月23日 "
娜娜,8.0,(1446人评分),233,"
50话 / 2006年4月5日 / 浅香守生 / 矢沢あい "
秀逗魔导士NEXT,8.0,(798人评分),234,"
26话 / 1996年4月5日 / 渡部高志 / 神坂一 / 宮田奈保美 "
佐贺偶像是传奇,8.0,(2285人评分),235,"
12话 / 2018年10月4日 / 広報広聴課ゾンビ係 "
少年同盟 2,8.0,(1631人评分),236,"
13话 / 2012年4月2日 / 神戸守 / 堀田きいち（掲載 月刊「Gファンタジー」スクウェア・エニックス刊） "
天体战士 第2期,8.0,(661人评分),237,"
26话 / 2009年10月3日 / 松本剛彦 / 森田和明 "
魔术师,8.2,(161人评分),238,"
2010年6月16日 / Sylvain Chomet "
悠哉日常大王 Repeat,8.0,(2367人评分),239,"
12话 / 2015年7月6日 "
降世神通：最后的气宗 第三季,8.1,(305人评分),240,"
21话 / 2007年9月21日 / Michael Dante DiMartin、Bryan Konietzko "
南方公园 第16季,8.1,(255人评分),241,"
14话 / 2012年3月14日 "
南方公园 第15季,8.1,(258人评分),242,"
14话 / 2011年04月27日 "
