text,rate,number,rank,inform_tip
9.99澳元,7.3,(10人评分),,"
1话 / 2008年9月4日 / 塔蒂亚·罗森娜尔 "
'07戦争童話 ふたつの胡桃,,(少于10人评分),,"
1话 / 2007-08-15  "
'08戦争童話 キクちゃんとオオカミ,,,,"
1话 / 2008-08-13 "
'A',,,,"
1965-02-01 / 尚·连尼卡 "
+模型姐妹,7.2,(696人评分),1413,"
12话 / 2012年8月22日 / 水島努 / 栗井茶（掲載「ヤングガンガン」スクウェア・エニックス刊） / 木野下澄江 "
忍空 小刀的墓标,,(少于10人评分),,"
1994年10月 "
.hack//G.U. Returner,6.3,(29人评分),,"
1话 / 2007年 "
.hack//G.U. TRILOGY,7.0,(104人评分),1871,"
2007年12月22日 / 松山洋 "
.hack//GIFT,6.2,(16人评分),,"
1话 / 2002年 "
.hack//Integration,6.9,(28人评分),,"
1话 / 2002年 "
.hack//境界线,6.3,(78人评分),2909,"
4话 / 2002年6月20日 / project .hack "
.hack//Quantum,7.3,(321人评分),1236,"
3话 / 2011年1月28日 / .hack　Conglomerate "
.hack//根源,5.9,(228人评分),4042,"
26话 / 2006年4月5日 / 真下耕一 / 大澤聡 "
.hack//时空,6.9,(320人评分),2072,"
28话 / 2002年4月3日 / 大澤聡、番由紀子、岩岡優子、芝美奈子 "
.hack//Versus 塔那托斯报告,7.0,(48人评分),,"
1话 / 2012年6月28日 "
.hack//黄昏腕轮传说,6.4,(305人评分),3438,"
12话 / 2003年1月8日 / 真下耕一 / Project .hack "
RE:人造人009,6.4,(205人评分),3337,"
2012年10月27日 / 神山健治 / 石ノ森章太郎 "
009-1,6.2,(33人评分),,"
12话 / 2006年10月5日 "
人造人009：重新开放,,(少于10人评分),,"
2010年10月5日(日本高新技术博览会) "
七鬼神,6.6,(809人评分),3084,"
25话 / 2009年4月6日 / 高本宣弘 / 雨宮由樹/市原ゆき乃 "
0式战斗机,,(少于10人评分),,"
38话 / 1964年1月21日 "
1+2=Paradise,5.7,(16人评分),,"
2话 / 1990-02-23 / 上村純子 "
1...2...3,,,,"
1985 / Graeme Ross "
100%,,(少于10人评分),,"
1话 / 1990-09-07 / 松本佳久 "
100%帕斯卡老师,,,,"
6话 / 2016年10月15日 / 永井ゆうじ "
100%帕斯卡老师,,(少于10人评分),,"
36话 / 2017年4月15日 / 永井ゆうじ "
1000酱！,,(少于10人评分),,"
8话 / 2014年5月1日 "
1000酱！ 厚木LOVE編,,(少于10人评分),,"
10话 / 2016年8月26日 "
1000酱！SSD,,(少于10人评分),,"
6话 / 2015年6月2日 / OIZUMI、オーイズミ "
千年女王,6.3,(18人评分),,"
1982年3月13日 "
一千零一夜,6.6,(25人评分),,"
1998年3月 "
100ばんめのサル,,,,"
1986-05-25 "
100万円あったら、どうする？,,(少于10人评分),,"
1话 / 1999 "
100万年地球之旅 班达之书,,(少于10人评分),,"
1话 / 1978年8月27日 "
101忠狗续集：伦敦大冒险,6.6,(11人评分),,"
2003-01-21(美国) "
101忠狗,6.8,(169人评分),2384,"
65话 / 1997-09-01 "
王子与108煞,,(少于10人评分),,"
1话 / 2015-01-21(法国) / 2015-08-21(中国大陆) / Pascal Morelli "
游戏王剧场版 超融合！超越时空的羁绊,6.6,(501人评分),2859,"
2010年1月23日 "
11:08,,,,"
2012年11月7日 "
11eyes,5.4,(1158人评分),4577,"
12话 / 2009年10月6日 / 下田正美 / Lass / 原将治 "
11eyes OVA,5.6,(370人评分),4457,"
1话 / 2010年6月25日 / 下田正美 / Lass / 原 将治 "
第十一人,6.7,(16人评分),,"
1986年11月1日 / 出崎哲、冨永恒雄 / 萩尾望都 "
12岁。,5.8,(120人评分),3961,"
8话 / 2014年4月3日 / 大宙征基（奥脇雅晴） / まいた菜穂 / 萩原しょう子、中野彰子 "
12岁 第二季,5.9,(43人评分),,"
4话 / 2015年7月3日 "
12岁。小小的胸口心跳加速,5.8,(335人评分),4279,"
12话 / 2016年4月4日 / 大宙征基（奥脇雅晴） / まいた菜穂「12歳。」（ちゃお / 小学館） "
12岁。小小的胸口心跳加速 第二季,6.2,(138人评分),3564,"
 12话 / 2016年10月3日 / まいた菜穂「12歳。」（ちゃお / 小学館） "
15美少女漂流记,6.2,(386人评分),3749,"
3话 / 2009年8月3日 "
18：与你相连的拼图游戏,5.8,(278人评分),4261,"
13话 / 2017年7月7日 "
19/2000,,(少于10人评分),,"
2001-06-25 "
1磅的福音,6.3,(16人评分),,"
1话 / 1988-12-02 "
1区212,,(少于10人评分),,"
60话 / 2013 "
1月にはChristmas,,(少于10人评分),,"
1话 / 1991年11月21日 "
两头笨狗,,(少于10人评分),,"
26话 / 1993-09-05 "
2005年宇宙之旅,,(少于10人评分),,"
2005 "
2112年哆啦A梦的诞生,7.4,(40人评分),,"
1995年3月4日 "
21卫门,,(少于10人评分),,"
39话 / 1991年5月2日 "
21卫门 剧场版2,,,,"
1992年3月7日 "
21時の女,5.5,(65人评分),3912,"
3话 / 2001/02/21 "
22/7,,,,"
"
23F,,(少于10人评分),,"
1话 / 2014-06-14 "
4月25日,,(少于10人评分),,"
2016 "
戒烟25法,6.5,(10人评分),,"
1989 "
