text,rate,number,rank,inform_tip
攻壳机动队 S.A.C. Solid State Society,8.4,(1330人评分),55,"
1话 / 2006年9月1日 "
哆啦A梦 大山版,8.5,(405人评分),56,"
1787话 / 1979年4月2日 "
百变之星,8.4,(752人评分),57,"
51话 / 2003年4月3日 / 佐藤順一、平池芳正（第27话以后） "
JOJO的奇妙冒险,8.3,(3521人评分),58,"
26话 / 2012年10月5日 / 荒木飛呂彦 "
昭和元禄落语心中 -助六再临篇-,8.4,(698人评分),59,"
12话 / 2017年1月6日 / 畠山守(小俣真一) / 雲田はるこ「昭和元禄落語心中」（講談社「ITAN」連載） "
风之谷,8.3,(2904人评分),60,"
1话 / 1984年3月11日 / 宮崎駿 "
银魂' 延长战,8.4,(2224人评分),61,"
13话 / 2012年10月4日 "
钢之炼金术师,8.3,(4370人评分),62,"
51话 / 2003年10月4日 / 水島精二 / 荒川弘 / 伊藤嘉之 "
福音战士新剧场版：序,8.3,(4823人评分),63,"
1话 / 2007年9月1日 / 庵野秀明 "
JOJO的奇妙冒险 星尘斗士 埃及篇,8.3,(2184人评分),64,"
24话 / 2015年1月9日 "
水星领航员 OVA,8.4,(605人评分),65,"
1话 / 2007年9月21日 / 佐藤順一 / 天野こずえ / 古賀誠 "
瑞克和莫蒂 第一季,8.4,(518人评分),66,"
11话 / 2013-12-02 "
排球少年 第二季,8.3,(1491人评分),67,"
25话 / 2015年10月3日 / 古舘春一（集英社「週刊少年ジャンプ」連載） "
棒球英豪,8.4,(1002人评分),68,"
101话 / 1985年3月24日 / あだち充 "
乒乓,8.3,(3420人评分),69,"
11话 / 2014年4月10日 "
数码兽大冒险,8.3,(3280人评分),70,"
54话 / 1999-03-07 / 本郷あきよし / 中鶴勝祥 "
十二国记,8.3,(1850人评分),71,"
45话 / 2002年4月9日 / 小林常夫、栗原ひばり(40話のみ) / 小野不由美 / 田中比呂人、楠本祐子 "
少女革命,8.3,(1215人评分),72,"
39话 / 1997年4月2日 "
星际牛仔 天国之扉,8.3,(1768人评分),73,"
1话 / 2001年9月1日 / 矢立肇 "
日常,8.3,(6934人评分),74,"
26话 / 2011年4月2日 / 石原立也 / あらゐけいいち / 西屋太志 "
Code Geass 反叛的鲁路修,8.3,(7475人评分),75,"
25话 / 2006年10月5日 / 谷口悟朗 / 木村貴宏 "
永生之酒,8.3,(4527人评分),76,"
16话 / 2007年7月26日 / 大森貴弘 / 成田良悟 / 岸田隆宏 "
水星领航员 第二季,8.3,(1030人评分),77,"
26话 / 2006年4月2日 / 佐藤順一 / 天野こずえ / 古賀誠 "
猎人,8.3,(2069人评分),78,"
62话 / 1999年10月16日 / 古橋一浩 / 冨樫義博 "
夏目友人帐 参,8.3,(4794人评分),79,"
13话 / 2011年7月4日 / 大森貴弘 / 緑川ゆき / 髙田晃 "
虫师 续章 铃之雫,8.3,(713人评分),80,"
1话 / 2015年5月16日 "
哆啦A梦,8.3,(1211人评分),81,"
2005年4月15日 / 藤子・F・不二雄 "
皇家国教骑士团 OVA,8.3,(2160人评分),82,"
10话 / 2006年2月10日 / 平野耕太 "
王牌投手 振臂高挥,8.3,(1346人评分),83,"
26话 / 2007年4月12日 "
物怪,8.3,(1905人评分),84,"
12话 / 2007年7月12日 "
机器人总动员,8.3,(2358人评分),85,"
1话 / 2008-06-27 / Andrew Stanton "
棋魂,8.3,(2337人评分),86,"
75话 / 2001年10月10日 / 西澤晋、神谷純、えんどうてつや / ほったゆみ、小畑健 / 本橋秀之、関口可奈味、上田美由紀、芝美奈子 "
爆漫王。3,8.3,(2051人评分),87,"
25话 / 2012年10月6日 / 秋田谷典昭 / 小畑健、大場つぐみ "
机动战士高达 逆袭的夏亚,8.3,(917人评分),88,"
1988年3月12日 / 富野由悠季 / 富野由悠季 / 北爪宏幸 "
太空丹迪 第二季,8.3,(1250人评分),89,"
13话 / 2014年7月6日 "
比宇宙更远的地方,8.3,(2102人评分),90,"
13话 / 2018年1月2日 / いしづかあつこ / よりもい / 吉松孝博 "
王牌投手 振臂高挥～夏日大会篇～,8.3,(999人评分),91,"
14话 / 2010年4月1日 / 吉田隆彦 "
飞跃巅峰！,8.3,(1590人评分),92,"
6话 / 1988年10月7日 / 庵野秀明 / 岡田斗司夫 "
FLCL,8.3,(2090人评分),93,"
6话 / 2000年4月26日 / 鶴巻和哉 / GAINAX / 貞本義行 "
Heart Catch 光之美少女!,8.3,(491人评分),94,"
49话 / 2010年2月7日 / 長峯達也 / 東堂いづみ / 馬越嘉彦 "
龙猫,8.2,(3708人评分),95,"
1话 / 1988年4月16日 / 宮崎駿 "
新世纪福音战士剧场版 死与新生,8.2,(2826人评分),96,"
1997年3月15日 "
水星领航员,8.2,(1551人评分),97,"
13话 / 2005年10月5日 / 佐藤順一 / 天野こずえ / 古賀誠 "
虫师 蚀日之翳,8.3,(1378人评分),98,"
1话 / 2014年1月4日 "
电脑线圈,8.2,(2010人评分),99,"
26话 / 2007年5月12日 / 磯光雄 / 磯光雄 / 本田雄 "
化物语,8.2,(8093人评分),100,"
15话 / 2009年7月3日 / 新房昭之 / 西尾維新「化物語」（講談社BOX） / 渡辺明夫 "
来自深渊,8.2,(2761人评分),101,"
13话 / 2017年7月7日 / 小島正幸 / つくしあきひと "
∀高达,8.3,(735人评分),102,"
50话 / 1999年4月9日 / 富野由悠季 / 矢立肇、富野由悠季 "
东京教父,8.2,(1751人评分),103,"
1话 / 2003年11月8日 / 今敏 / 今敏 "
来自新世界,8.2,(4627人评分),104,"
25话 / 2012年9月28日 / 久保田誓（メイン）、清水祐実（サブ） "
魔法少女小圆 剧场版 [新篇] 叛逆的物语,8.2,(3565人评分),105,"
1话 / 2013年10月26日 "
全金属狂潮 校园篇,8.2,(3409人评分),106,"
12话 / 2003年8月26日 "
终物语（下）,8.2,(1044人评分),107,"
7话 / 2017年8月12日 "
Fate/Zero,8.2,(9969人评分),108,"
25话 / 2011年10月1日 "
回忆三部曲,8.2,(1106人评分),109,"
3话 / 1995年12月23日 / 森本晃司、岡村天斎、大友克洋 "
春宵苦短，少女前进吧！,8.2,(1425人评分),110,"
2017年4月7日 / 湯浅政明 / 森見登美彦（角川文庫刊） "
幸运星,8.2,(6001人评分),111,"
24话 / 2007年4月8日 / 山本寬、武本康弘（第五话开始） / 美水かがみ / 堀口悠紀子 "
秒速5厘米,8.2,(7787人评分),112,"
3话 / 2007年3月3日 / 新海誠 / 西村貴世 "
飞跃巅峰2！,8.2,(1430人评分),113,"
6话 / 2004年11月26日 / 鶴巻和哉 / GAINAX / 貞本義行 "
日本动画（人）博览会,8.2,(698人评分),114,"
35话 / 2014年11月7日 "
宇宙兄弟,8.2,(1111人评分),115,"
99话 / 2012年4月1日 / 渡辺歩 / 小山宙哉（講談社「モーニング」連載中） "
交响诗篇,8.2,(1907人评分),116,"
51话 / 2005年4月17日 / 京田知己 / BONES "
小马驹G4 第二季,8.4,(161人评分),117,"
26话 / 2011年9月17日 "
3月的狮子,8.2,(1900人评分),118,"
22话 / 2016年10月8日 / 新房昭之 / 羽海野チカ "
JOJO的奇妙冒险 星尘斗士,8.2,(2521人评分),119,"
24话 / 2014年4月4日 "
歌牌情缘,8.2,(2980人评分),120,"
25话 / 2011年10月4日 / 浅香守生 / 末次由紀（講談社「BE・LOVE」連載） "
空之境界 第七章 杀人考察（后）,8.1,(3788人评分),122,"
1话 / 2009年8月8日 / 瀧沢進介 / 奈須きのこ / 須藤友徳、高橋タクロヲ、小船井充 "
机动战士高达 第08MS小队,8.2,(1301人评分),123,"
11话 / 1996年1月25日 / 神田武幸（第1話 - 第6話）、飯田馬之介（第7話以降） / 矢立肇、富野由悠季 / 川元利浩 "
摇曳露营△,8.2,(1685人评分),124,"
12话 / 2018年1月4日 / あfろ（芳文社「まんがタイムきららフォワード」連載） "
猎人 OVA,8.2,(722人评分),125,"
8话 / 2002年1月17日 / 冨樫义博 "
龙珠,8.2,(2093人评分),126,"
153话 / 1986年2月26日 / 鳥山明（集英社「週刊少年ジャンプ」連載） "
凉宫春日的忧郁,8.1,(6666人评分),127,"
14话 / 2006年4月2日 / 石原立也 / 谷川流 / 池田晶子 "
爆漫王。2,8.1,(2410人评分),128,"
25话 / 2011年10月1日 "
白兔糖,8.1,(4665人评分),129,"
11话 / 2011年7月7日 / 宇仁田ゆみ "
Code Geass 反叛的鲁路修R2,8.1,(6450人评分),130,"
25话 / 2008年4月6日 / 谷口悟朗 / 木村貴宏 "
冰菓,8.1,(8219人评分),131,"
22话 / 2012年4月22日 / 武本康弘 / 米澤穂信 "
监狱兔 第一季,8.1,(2102人评分),132,"
13话 / 2006年 / 富岡聡 / 富岡聡、宮崎あぐり / 宮崎あぐり "
银魂°,8.2,(1510人评分),134,"
51话 / 2015年4月8日 "
小马驹G4 第一季,8.3,(241人评分),135,"
26话 / 2010年10月10日 "
续 夏目友人帐,8.1,(3924人评分),136,"
13话 / 2009年1月5日 / 大森貴弘 / 緑川ゆき / 髙田晃 "
排球少年,8.1,(2288人评分),137,"
25话 / 2014年4月6日 / 古舘春一 "
夏目友人帐,8.1,(5205人评分),138,"
13话 / 2008年7月7日 / 大森貴弘 / 緑川ゆき "
天元突破红莲螺岩 螺岩篇,8.1,(1297人评分),139,"
1话 / 2009年4月25日 / 今石洋之 / GAINAX・中島かずき / 錦織敦史 "
少女革命剧场版 思春期默示录,8.2,(565人评分),141,"
1话 / 1999年8月14日 "
AIR,8.1,(5163人评分),142,"
13话 / 2005年1月6日 / 石原立也 / Key/Visual Art's / 荒谷朋恵 "
你的名字。,8.1,(5015人评分),143,"
1话 / 2016年8月26日 / 新海誠 / 田中将賀 "
昭和元禄落语心中,8.1,(1319人评分),144,"
13话 / 2016年1月8日 / 小俣真一 / 雲田はるこ「昭和元禄落語心中」（講談社「ITAN」連載） "
狮子王,8.1,(1371人评分),145,"
1话 / 1994年6月15日/ / 罗杰·阿勒斯 / 罗伯·明可夫 "
寒蝉鸣泣之时 解,8.1,(4092人评分),146,"
24话 / 2007年7月5日 / 今千秋 / 竜騎士07 / 07th Expansion "
龙与虎,8.1,(7464人评分),147,"
25话 / 2008年10月1日 / 長井龍雪 / 竹宮ゆゆこ（アスキー・メディアワークス／電撃文庫） "
黑客帝国动画版,8.1,(830人评分),148,"
9话 / 2003年6月3日 "
搞笑漫画日和,8.1,(3256人评分),149,"
12话 / 2005年2月7日 / 大地丙太郎 / 増田こうすけ（集英社 「月刊少年JUMP」连载） "
吹响！悠风号,8.1,(4393人评分),150,"
14话 / 2015年4月7日 "
悠久之翼2,8.1,(2406人评分),151,"
12话 / 2008年10月6日 / 大沼心 / minori、鏡遊、御影 / 杉山延寛 "
攻壳机动队 S.A.C. SSS 3D,8.2,(431人评分),152,"
2011年3月26日 "
攻壳机动队 笑面男,8.2,(471人评分),153,"
1话 / 2005年10月23日 "
老人与海,8.2,(270人评分),154,"
1999年7月3日 / Александр Константинович Петров / Ernest Miller Hemingway "
心灵游戏,8.1,(618人评分),155,"
1话 / 2004年8月7日 / ロビン西 "
海马,8.1,(771人评分),156,"
12话 / 2008年4月10日 / 湯浅政明 / 湯浅政明 / 伊東伸高 "
夏目友人帐 肆,8.1,(3057人评分),157,"
13话 / 2012年1月2日 / 大森貴弘 / 緑川ゆき / 髙田晃 "
宇宙战舰大和号2199,8.1,(828人评分),158,"
26话 / 2013年4月7日 "
怪诞小镇 第二季,8.3,(160人评分),159,"
20话 / 2014年8月1日 / John Aoshima / Aaron Springer / Joe Pitt "
穿越时空的少女,8.1,(5317人评分),160,"
1话 / 2006年7月15日 / 細田守 / 筒井康隆 / 貞本義行  "
欢迎加入NHK！,8.1,(2576人评分),161,"
24话 / 2006年7月9日 / 山本裕介 / 大岩ケンヂ / 右凑具央、吉田隆彦 "
山水情,8.3,(209人评分),162,"
1988-03-21 / 特伟、马克宣 / 吴山明 "
NO GAME NO LIFE ZERO,8.1,(1638人评分),163,"
1话 / 2017年7月15日 / 榎宮祐（MF文庫J 『ノーゲーム・ノーライフ』／KADOKAWA刊） / 田崎聡 "
夏日大作战,8.1,(5214人评分),164,"
1话 / 2009年8月1日 / 細田守 / 細田守 / 貞本義行 "
吊带袜天使,8.1,(3629人评分),165,"
13话 / 2010年10月1日 / 今石洋之 / GAINAX / 錦織敦史 "
回忆积木小屋,8.1,(656人评分),166,"
1话 / 2008年6月10日 / 加藤久仁生 "
攻壳机动队 个别的十一人,8.2,(438人评分),167,"
1话 / 2006年1月27日 "
超时空要塞 可曾记得爱,8.1,(760人评分),168,"
1984年7月21日 / 石黒昇、河森正治 / スタジオぬえ / 美樹本晴彦 "
